Column_Name	Missing_Percentage
form	0.0
version	0.0
country	0.0
centre	0.0
school	0.0
serial	0.0
seriala1	4.441346345349531
seriala2	6.662019518024298
dint	0.0
dint_stata	0.18422624975104562
age	0.0
agecalc	0.22405895239992032
dbirth	0.0
dbirth_stata	0.04481179047998407
sex	0.0
weight	0.029874526986656047
wgtunit	0.15435172276438955
weight_kg	0.15435172276438955
height	0.18422624975104562
hgtunit	0.15435172276438955
height_m	0.18422624975104562
language	0.0
whezev	1.5385381398127862
whezage	94.0300736904999
whez12	94.01015733917546
nwhez12	97.04242182832105
awake12	97.02748456482773
speech12	96.93288189603665
asthmaev	14.434375622385978
asthdoc	98.63572993427604
asthplan	98.65066719776937
medpuff	98.64568810993826
sabafreq	99.49711212905795
labafreq	99.8406691894045
icsfreq	99.70125473013344
combfreq	99.72615016928899
medpill	86.09838677554272
medpil1a	0.0
medpil1b	99.59669388568014
medpil2a	0.0
medpil2b	99.76100378410675
medpil3a	0.0
medpil3b	99.83569010157339
medpil4a	0.0
medpil4b	99.81577375024897
docbrt12	98.73531169089823
erbrth12	98.63075084644494
hosbrt12	98.66062537343159
school12	98.6656044612627
exwhez12	2.6190001991635135
cough12	3.6347341167098186
pnoseev	5.238000398327027
pnoseage	88.8568014339773
pnose12	88.0601473809998
iitch12	92.50647281418044
ieyes12	92.58115913164708
iactiv12	92.81517625970922
hfeverev	5.427205735909181
hfevdoc	92.95956980681139
rashev	5.228042222664808
rash12	95.07070304720176
sitesev	96.40509858593906
rashage	96.71878111929895
rclear12	96.539533957379
rawake12	96.60924118701453
eczemaev	2.763393746265684
eczedoc	94.53296156144194
mparaprg	5.108544114718184
animoth	3.6148177653853817
msmokprg	3.3907588129854607
mpcar01	8.798048197570205
mpcar02	18.801035650268872
mpcar03	19.08982274447321
mpcar04	19.85660227046405
chprem	4.446325433180641
bweight	0.0
bweight_kg	22.57518422624975
bwgtunit	21.853216490738898
brstfed	3.9185421230830513
nbrstfed	19.33877713602868
nbrstexc	22.151961760605456
milkynga	16.550487950607447
milkyngb	12.671778530173272
parayng	7.070304720175264
nchstyng	10.067715594503088
antibiot	7.78729336785501
nantibiot	84.71420035849432
antibioch	84.42541326428999
sheepyng	4.904401513642701
catyng	3.649671380203147
dogyng	3.495319657438757
aniyng	3.6247759410476
wheezyng	3.8836885082652857
medyng	4.476199960167297
medyng1	98.88966341366262
medyng2	99.39255128460466
medyng3	99.15853415654252
medyng4	99.45230033857797
medyng5	99.47719577773351
medyng6	99.54192391953795
medyng7	99.37761402111134
chcaryng	4.8844851623182635
chcryngy	73.83987253535153
chcryngm	79.56084445329616
chcarold	7.463652658832902
chcroldy	65.19617606054571
chcroldm	60.94403505277833
exercise	11.830312686715793
televis	7.553276239792869
computer	16.460864369647478
pneumon	4.585739892451703
twin	3.5451105357498505
oldsibs	13.717386974706233
yngsibs	16.187014538936467
cntrybir	2.788289185421231
cbiroth	0.0
yrslived	23.137821151165106
chflr01	0.0
chflr02	0.0
chflr03	0.0
chflr04	0.0
chhmchng	9.251145190201155
trucfreq	7.244572794264091
meat	7.543318064130651
seafood	10.137422824138618
fruit	11.511651065524795
vegecook	17.9645488946425
vegeraw	14.364668392750449
pulses	10.899223262298346
cereals	15.340569607647877
bread	9.574785899223262
pasta	14.987054371639116
rice	20.00099581756622
margarin	30.208125871340368
butter	13.433578968333002
oliveoil	19.966142202748458
milk	22.037442740489944
dairyoth	15.425214100776738
eggs	10.685122485560646
nuts	13.463453495319659
potato	10.466042620991836
sugar	17.008564031069508
burger	10.714997012547302
fastfood	14.394542919737106
softdrnk	11.133240390360486
catnow	6.094403505277833
dognow	3.654650468034256
paranow	9.186417048396734
chflr01_1	11.25273849830711
chflr01_2	11.25273849830711
chflr01_3	11.25273849830711
chflr01_4	11.25273849830711
chflr02_1	16.231826329416453
chflr02_2	16.231826329416453
chflr02_3	16.231826329416453
chflr02_4	16.231826329416453
chflr03_1	12.512447719577773
chflr03_2	12.517426807408881
chflr03_3	12.512447719577773
chflr03_4	12.512447719577773
chflr04_1	16.057558255327624
chflr04_2	16.057558255327624
chflr04_3	16.062537343158734
chflr04_4	16.057558255327624
school_india	88.57299342760406
pincode_india	88.57299342760406
nebumed_india	1.3095000995817567
nebulasthalevo_india	96.96773551085441
nebuduo_india	97.19677355108544
nebubude_india	97.21668990240988
banana_india	1.4439354710217087
guava_india	1.7625970922127068
curdyog_india	1.7377016530571598
colddrinks_india	1.6132244572794263
icecreams_india	1.7426807408882694
cakepastries_india	1.852220673172675
packcrunchy_india	1.080462059350727
pincode_poll	88.57299342760406
annualpm25_poll	0.0
latitude_poll	88.5879306910974
longitude_poll	88.5879306910974
