Column_Name	Missing_Percentage
form	0.0
version	0.0
country	0.0
centre	0.0
school	0.0
serial	0.0
seriala1	1.7948717948717947
seriala2	1.3186813186813187
dint	0.0
dint_stata	0.0
age	0.0
agecalc	0.0
dbirth	0.0
dbirth_stata	0.0
sex	0.0
weight	0.0
wgtunit	0.0
weight_kg	0.0
height	0.0
hgtunit	0.0
height_m	0.0
language	0.0
whezev	0.0
whezage	94.32234432234432
whez12	94.32234432234432
nwhez12	97.25274725274726
awake12	97.25274725274726
speech12	97.25274725274726
asthmaev	0.0
asthdoc	98.27838827838828
asthplan	98.27838827838828
medpuff	98.27838827838828
sabafreq	99.1941391941392
labafreq	99.85347985347985
icsfreq	99.74358974358975
combfreq	99.8901098901099
medpill	98.2051282051282
medpil1a	0.0
medpil1b	99.1941391941392
medpil2a	0.0
medpil2b	99.8901098901099
medpil3a	0.0
medpil3b	99.8901098901099
medpil4a	0.0
medpil4b	99.85347985347985
docbrt12	98.27838827838828
erbrth12	98.27838827838828
hosbrt12	98.27838827838828
school12	98.27838827838828
exwhez12	0.0
cough12	0.0
pnoseev	0.0
pnoseage	89.85347985347985
pnose12	89.63369963369964
iitch12	93.62637362637362
ieyes12	93.62637362637362
iactiv12	93.62637362637362
hfeverev	0.0
hfevdoc	91.46520146520146
rashev	0.0
rash12	94.46886446886447
sitesev	96.66666666666667
rashage	96.73992673992674
rclear12	96.66666666666667
rawake12	96.66666666666667
eczemaev	0.0
eczedoc	97.06959706959707
mparaprg	0.03663003663003663
animoth	0.0
msmokprg	0.0
mpcar01	0.0
mpcar02	0.0
mpcar03	0.0
mpcar04	0.0
chprem	0.0
bweight	0.0
bweight_kg	0.0
bwgtunit	0.0
brstfed	0.0
nbrstfed	1.684981684981685
nbrstexc	1.6483516483516485
milkynga	0.07326007326007326
milkyngb	0.03663003663003663
parayng	0.0
nchstyng	0.07326007326007326
antibiot	0.10989010989010989
nantibiot	79.23076923076923
antibioch	79.23076923076923
sheepyng	0.07326007326007326
catyng	0.03663003663003663
dogyng	0.0
aniyng	0.0
wheezyng	0.0
medyng	0.0
medyng1	99.34065934065934
medyng2	99.78021978021978
medyng3	99.63369963369964
medyng4	99.78021978021978
medyng5	99.74358974358975
medyng6	99.8901098901099
medyng7	99.67032967032966
chcaryng	0.0
chcryngy	78.53479853479854
chcryngm	85.53113553113553
chcarold	0.0
chcroldy	72.49084249084248
chcroldm	81.5018315018315
exercise	0.0
televis	0.07326007326007326
computer	0.0
pneumon	0.0
twin	0.0
oldsibs	55.53113553113553
yngsibs	53.07692307692308
cntrybir	0.0
cbiroth	0.0
yrslived	0.0
chflr01	0.0
chflr02	0.0
chflr03	0.0
chflr04	0.0
chhmchng	0.0
trucfreq	0.10989010989010989
meat	1.9413919413919414
seafood	1.208791208791209
fruit	38.42490842490843
vegecook	65.05494505494505
vegeraw	30.87912087912088
pulses	28.901098901098898
cereals	18.38827838827839
bread	4.4322344322344325
pasta	2.564102564102564
rice	95.3113553113553
margarin	16.84981684981685
butter	13.040293040293042
oliveoil	7.032967032967033
milk	79.04761904761905
dairyoth	7.802197802197802
eggs	10.073260073260073
nuts	14.908424908424909
potato	20.732600732600734
sugar	48.86446886446886
burger	1.2454212454212454
fastfood	0.805860805860806
softdrnk	1.2454212454212454
catnow	0.03663003663003663
dognow	0.0
paranow	0.0
chflr01_1	0.0
chflr01_2	0.0
chflr01_3	0.0
chflr01_4	0.0
chflr02_1	0.0
chflr02_2	0.0
chflr02_3	0.0
chflr02_4	0.0
chflr03_1	0.0
chflr03_2	0.0
chflr03_3	0.0
chflr03_4	0.0
chflr04_1	0.0
chflr04_2	0.0
chflr04_3	0.0
chflr04_4	0.0
school_india	100.0
pincode_india	100.0
nebumed_india	0.03663003663003663
nebulasthalevo_india	98.75457875457876
nebuduo_india	99.23076923076923
nebubude_india	99.1941391941392
banana_india	0.0
guava_india	0.0
curdyog_india	0.0
colddrinks_india	0.0
icecreams_india	0.0
cakepastries_india	0.0
packcrunchy_india	0.0
pincode_poll	100.0
annualpm25_poll	0.0
latitude_poll	100.0
longitude_poll	100.0
